gid,id,nm_bai,nome
355,400046132,Clarissa,Jd. Clarissa
392,400046044,Eli Forte - Complemento,Jd. Eli Forte - Complemento
471,400046015,Presidente - Extensão II,Jd. Presidente - Extensão II
476,400046049,Village Santa Rita II,Res. Village Santa Rita II
537,400045931,Capuava Residencial Privê,Capuava Residencial Prive
573,400046201,Novo Petrópolis,Jd. Novo Petrópolis
594,400046652,,Gleba
597,400045929,Eli Forte,Jd. Eli Forte
623,400046656,Portal Anhanguera,Res. Portal Anhanguera
610,400046487,,Gleba
627,400046184,,Gleba
633,400046555,AREA,Gleba
647,400046647,,Gleba
662,400046649,,Gleba
682,400046657,,Gleba
666,400046650,,Gleba
669,400046648,,Gleba
671,400000002,,Gleba
667,400046276,,Gleba
676,400046601,,Gleba
678,400046592,São José,Faz São Jose
679,400003092,Balneário Meia Ponte,Jd. Balneário Meia Ponte
761,400046658,,Gleba
694,400046680,Gleba,Gleba
695,400046673,Gleba,Gleba
696,400046674,Gleba,Gleba
698,400029292,São Paulo,Vila São Paulo
704,400046669,,Gleba
705,400046666,Alphaville,Res. Alphaville
706,400046667,,Gleba
707,400046668,,Gleba
708,400046677,Gleba,Gleba
709,400046676,Gleba,Gleba
710,400046678,Gleba,Gleba
716,400046679,Gleba,Gleba
713,400046675,Gleba,Gleba
717,400046681,Gleba,Gleba
718,400046670,,Gleba
719,400046672,,Gleba
720,400046671,,Gleba
762,400046699,,Gleba
234,400046247,,Gleba
243,400023592,,Gleba
740,400046683,,Gleba
742,400046686,,Gleba
744,400046646,,Gleba
745,400046687,,Gleba
1086,400046324,,Gleba
770,400046698,,Gleba
771,400046705,,Gleba
785,400046700,,Gleba
783,400045943,Grajaú,Setor Grajau
795,400000001,Talisma I,Res. Talisma I
798,400046708,,Gleba
799,400046706,,Gleba
802,400046710,,Gleba
804,400046709,dos Dourados Extensão,Setor dos Dourados Extensão
808,400046429,Flores do Parque,Res. Flores do Parque
817,400046717,,Gleba
819,400046716,,Gleba
826,400046761,,Gleba
844,400046358,,Gleba
854,400046685,,Gleba
855,400046703,,Gleba
856,400046659,Gleba,Gleba
858,400046713,,Gleba
859,400046662,,Gleba
861,400046714,Jucelino Kubitschek,Res. Jucelino Kubitschek
862,400046712,,Gleba
863,400046660,,Gleba
865,400046661,,Gleba
866,400046704,,Gleba
868,400046725,,Gleba
878,400046723,Prive Elza Fronza - 2a Etapa,Prive Elza Fronza - 2a Etapa
877,400046243,Samambaia,Cond. Samambaia
882,400046722,,Gleba
1105,400046762,,Gleba
884,400046724,,Gleba
888,400046718,,Gleba
286,400045947,Junqueira,Res. Junqueira
1106,400046763,,Gleba
1107,400046764,,Gleba
901,400046309,,Gleba
954,400046702,,Gleba
908,400046711,,Gleba
919,400046726,,Gleba
582,400035092,Maria Dilce,Chácara Maria Dilce
926,400046562,Aruanã - Complemento,Res. Aruana - Complemento
939,400046727,Caravelas 1a Etapa,Jd. Caravelas 1a Etapa
591,400021292,dos Afonsos,Setor dos Afonsos
953,400046720,,Gleba
592,400034092,Teófilo Neto,Vila Teófilo Neto
955,400046697,,Gleba
957,400046694,,Gleba
1097,400046757,,Gleba
959,400046693,,Gleba
960,400046684,,Gleba
1099,400046755,,Gleba
963,400046664,Goias - Area I,Jd. Goiás – Área I
964,400046719,Oeste Industrial - Prolongamento,Parque Oeste Industrial - Prolongamento
967,400046654,São Jose,Setor São Jose
978,400046570,,Gleba
989,400046715,,Gleba
990,400046732,,Gleba
37,400046469,,Gleba
1009,400046739,,Gleba
1021,400046738,,Gleba
1022,400000003,Havai - Extensão,Res. Havai - Extensão
593,400046040,Forte Ville - Extensão,Res. Forte Ville - Extensão
1024,400046737,São Jose I,Jd. São Jose I
29,400046457,AREA,Gleba
1028,400032392,Novo Mundo,Jd. Novo Mundo
41,400046440,Carolina Park Complemento,Setor Carolina Park Complemento
1083,400046736,,Gleba
1043,400046696,,Gleba
1044,400046749,,Gleba
1045,400046744,,Gleba
1049,400046741,,Gleba
1050,400046653,,Gleba
1063,400046750,,Gleba
42,400046197,Tuzimoto,Res. Tuzimoto
44,400046567,,Gleba
93,400046543,,Gleba
1095,400046701,,Gleba
1100,400046754,,Gleba
1101,400046752,,Gleba
1102,400046751,,Gleba
1103,400046753,Solar Ville Complemento,Res. Solar Ville Complemento
1104,400046758,,Gleba
28,400046436,Lucy Pinheiro,Res. Lucy Pinheiro
97,400009292,Matilde,Vila Matilde
2,400046403,Recanto dos Buritis,Res. Recanto dos Buritis
3,400045903,Fernandes,Vila Fernandes
